zone,element,grandeur,source,reference,modele,ecart,incertitude
Terrasse de gauche,C01,longueur_XY,Terrasse de gauche.pdf p.2,3.04,3.042882,0.002882,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C01,longueur_3D,Terrasse de gauche.pdf p.4,3.04,3.043687,0.003687,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C02,longueur_XY,Terrasse de gauche.pdf p.2,4.14,4.144135,0.004135,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C02,longueur_3D,Terrasse de gauche.pdf p.4,4.15,4.145342,-0.004658,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C03,longueur_XY,Terrasse de gauche.pdf p.2,0.76,0.762419,0.002419,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C03,longueur_3D,Terrasse de gauche.pdf p.4,0.76,0.762419,0.002419,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C04,longueur_XY,Terrasse de gauche.pdf p.2,0.9,0.902999,0.002999,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C04,longueur_3D,Terrasse de gauche.pdf p.4,0.92,0.915373,-0.004627,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C05,longueur_XY,Terrasse de gauche.pdf p.2,0.9,0.89709,-0.00291,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C05,longueur_3D,Terrasse de gauche.pdf p.4,0.9,0.897146,-0.002854,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C06,longueur_XY,Terrasse de gauche.pdf p.2,2.08,2.084146,0.004146,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C06,longueur_3D,Terrasse de gauche.pdf p.4,2.09,2.085681,-0.004319,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C07,longueur_XY,Terrasse de gauche.pdf p.2,1.66,1.659478,-0.000522,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C07,longueur_3D,Terrasse de gauche.pdf p.4,1.66,1.659508,-0.000492,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C08,longueur_XY,Terrasse de gauche.pdf p.2,0.87,0.873748,0.003748,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C08,longueur_3D,Terrasse de gauche.pdf p.4,0.87,0.874262,0.004262,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C09,longueur_XY,Terrasse de gauche.pdf p.2,0.44,0.443145,0.003145,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C09,longueur_3D,Terrasse de gauche.pdf p.4,0.44,0.443597,0.003597,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C10,longueur_XY,Terrasse de gauche.pdf p.2,1.53,1.533121,0.003121,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C10,longueur_3D,Terrasse de gauche.pdf p.4,1.53,1.533414,0.003414,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C11,longueur_XY,Terrasse de gauche.pdf p.2,0.48,0.478514,-0.001486,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C11,longueur_3D,Terrasse de gauche.pdf p.4,0.48,0.478514,-0.001486,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C12,longueur_XY,Terrasse de gauche.pdf p.2,0.92,0.924704,0.004704,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C12,longueur_3D,Terrasse de gauche.pdf p.4,0.93,0.92519,-0.00481,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C13,longueur_XY,Terrasse de gauche.pdf p.2,1.58,1.580515,0.000515,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C13,longueur_3D,Terrasse de gauche.pdf p.4,1.58,1.580515,0.000515,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C14,longueur_XY,Terrasse de gauche.pdf p.2,2.59,2.590279,0.000279,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C14,longueur_3D,Terrasse de gauche.pdf p.4,2.59,2.591225,0.001225,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C15,longueur_XY,Terrasse de gauche.pdf p.2,0.84,0.835027,-0.004973,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C15,longueur_3D,Terrasse de gauche.pdf p.4,0.84,0.835266,-0.004734,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C16,longueur_XY,Terrasse de gauche.pdf p.2,0.49,0.490116,0.000116,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C16,longueur_3D,Terrasse de gauche.pdf p.4,0.49,0.490218,0.000218,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C17,longueur_XY,Terrasse de gauche.pdf p.2,0.0,0.000123,0.000123,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C17,longueur_3D,Terrasse de gauche.pdf p.4,0.0,0.000123,0.000123,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C18,longueur_XY,Terrasse de gauche.pdf p.2,3.91,3.912563,0.002563,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C18,longueur_3D,Terrasse de gauche.pdf p.4,3.91,3.912678,0.002678,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C19,longueur_XY,Terrasse de gauche.pdf p.2,0.72,0.716446,-0.003554,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C19,longueur_3D,Terrasse de gauche.pdf p.4,0.72,0.718188,-0.001812,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C20,longueur_XY,Terrasse de gauche.pdf p.2,0.0,0.003897,0.003897,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C20,longueur_3D,Terrasse de gauche.pdf p.4,0.0,0.003897,0.003897,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C21,longueur_XY,Terrasse de gauche.pdf p.2,3.54,3.544045,0.004045,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C21,longueur_3D,Terrasse de gauche.pdf p.4,3.54,3.544059,0.004059,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C22,longueur_XY,Terrasse de gauche.pdf p.2,4.06,4.058589,-0.001411,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C22,longueur_3D,Terrasse de gauche.pdf p.4,4.06,4.059033,-0.000967,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C23,longueur_XY,Terrasse de gauche.pdf p.2,0.79,0.79461,0.00461,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C23,longueur_3D,Terrasse de gauche.pdf p.4,0.79,0.794862,0.004862,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C24,longueur_XY,Terrasse de gauche.pdf p.2,3.21,3.211911,0.001911,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C24,longueur_3D,Terrasse de gauche.pdf p.4,3.29,3.287304,-0.002696,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C25,longueur_XY,Terrasse de gauche.pdf p.2,2.24,2.236062,-0.003938,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C25,longueur_3D,Terrasse de gauche.pdf p.4,2.24,2.236151,-0.003849,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C26,longueur_XY,Terrasse de gauche.pdf p.2,2.12,2.116715,-0.003285,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C26,longueur_3D,Terrasse de gauche.pdf p.4,2.12,2.117093,-0.002907,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C27,longueur_XY,Terrasse de gauche.pdf p.2,0.33,0.330892,0.000892,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C27,longueur_3D,Terrasse de gauche.pdf p.4,0.33,0.331043,0.001043,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C28,longueur_XY,Terrasse de gauche.pdf p.2,3.05,3.049987,-1.3e-05,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C28,longueur_3D,Terrasse de gauche.pdf p.4,3.05,3.050003,3e-06,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C29,longueur_XY,Terrasse de gauche.pdf p.2,0.32,0.32469,0.00469,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,C29,longueur_3D,Terrasse de gauche.pdf p.4,0.33,0.325305,-0.004695,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de gauche,total,parcours_XY,Terrasse de gauche.pdf p.1 ou 3,47.54,47.542847,0.002847,Arrondi publication; precision du releve non fournie
Terrasse de gauche,total,parcours_3D,Terrasse de gauche.pdf p.1 ou 3,47.64,47.641096,0.001096,Arrondi publication; precision du releve non fournie
Terrasse de gauche,total,surface_projetee,Terrasse de gauche.pdf p.1 ou 3,46.18,46.175509,-0.004491,Arrondi publication; precision du releve non fournie
Zone escalier,C01,longueur_XY,Zone escalier.pdf p.2,1.2,1.2,-0.0,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C01,longueur_3D,Zone escalier.pdf p.4,1.21,1.214948,0.004948,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C02,longueur_XY,Zone escalier.pdf p.2,1.22,1.224279,0.004279,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C02,longueur_3D,Zone escalier.pdf p.4,1.24,1.243889,0.003889,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C03,longueur_XY,Zone escalier.pdf p.2,0.08,0.081671,0.001671,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C03,longueur_3D,Zone escalier.pdf p.4,0.17,0.170793,0.000793,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C04,longueur_XY,Zone escalier.pdf p.2,2.37,2.36581,-0.00419,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C04,longueur_3D,Zone escalier.pdf p.4,2.37,2.366571,-0.003429,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C05,longueur_XY,Zone escalier.pdf p.2,0.46,0.462424,0.002424,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C05,longueur_3D,Zone escalier.pdf p.4,0.47,0.467692,-0.002308,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C06,longueur_XY,Zone escalier.pdf p.2,0.11,0.111701,0.001701,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C06,longueur_3D,Zone escalier.pdf p.4,0.54,0.541643,0.001643,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C07,longueur_XY,Zone escalier.pdf p.2,1.03,1.028095,-0.001905,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C07,longueur_3D,Zone escalier.pdf p.4,1.04,1.042055,0.002055,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C08,longueur_XY,Zone escalier.pdf p.2,0.71,0.70569,-0.00431,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C08,longueur_3D,Zone escalier.pdf p.4,0.71,0.711406,0.001406,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C09,longueur_XY,Zone escalier.pdf p.2,0.03,0.02943,-0.00057,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C09,longueur_3D,Zone escalier.pdf p.4,0.07,0.066829,-0.003171,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C10,longueur_XY,Zone escalier.pdf p.2,2.4,2.398683,-0.001317,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C10,longueur_3D,Zone escalier.pdf p.4,2.4,2.398704,-0.001296,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C11,longueur_XY,Zone escalier.pdf p.2,1.47,1.471229,0.001229,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C11,longueur_3D,Zone escalier.pdf p.4,1.47,1.472452,0.002452,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C12,longueur_XY,Zone escalier.pdf p.2,0.73,0.727155,-0.002845,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C12,longueur_3D,Zone escalier.pdf p.4,0.74,0.73699,-0.00301,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C13,longueur_XY,Zone escalier.pdf p.2,0.18,0.176661,-0.003339,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C13,longueur_3D,Zone escalier.pdf p.4,0.21,0.213563,0.003563,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C14,longueur_XY,Zone escalier.pdf p.2,1.11,1.109354,-0.000646,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C14,longueur_3D,Zone escalier.pdf p.4,1.11,1.112235,0.002235,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C15,longueur_XY,Zone escalier.pdf p.2,0.13,0.126731,-0.003269,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C15,longueur_3D,Zone escalier.pdf p.4,0.2,0.196369,-0.003631,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C16,longueur_XY,Zone escalier.pdf p.2,1.08,1.084139,0.004139,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C16,longueur_3D,Zone escalier.pdf p.4,1.09,1.087868,-0.002132,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Zone escalier,C17,longueur_XY,Zone escalier.pdf p.2,0.1,0.099939,-6.1e-05,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
